Number,Nitride,R1,X1,V1,R2,X2,V3,R3,X3,R4,X4,R5,X5,R6,X6,R7,X7,R8,X8,I1,I2,I3,I4,I5,I6,I7,I8,PBE Eg (eV),HSE Eg (eV),Band offset (eV),Formation energy per atom (eV)
1,Al3GaIn2ScYN8,1.18,1.61,3,1.18,1.61,3,1.18,1.61,1.26,1.81,1.44,1.78,1.44,1.78,1.44,1.36,1.62,1.22,0.5775,0.5775,0.5775,0.5788,0.5583,0.5583,0.6331,0.6,1.8377,3.3152,0.1214,-2.7261
2,Al3InScY3N8,1.18,1.61,3,1.18,1.61,3,1.18,1.61,1.44,1.78,1.44,1.36,1.62,1.22,1.62,1.22,1.62,1.22,0.5775,0.5775,0.5775,0.5583,0.6331,0.6,0.6,0.6,2.3906,3.8304,0.0589,-3.042
3,Al2GaInSc2Y2N8,1.18,1.61,3,1.18,1.61,3,1.26,1.81,1.44,1.78,1.44,1.36,1.44,1.36,1.62,1.22,1.62,1.22,0.5775,0.5775,0.5788,0.5583,0.6331,0.6331,0.6,0.6,2.3742,3.7774,0.0896,-2.9523
4,AlGa3InScY2N8,1.18,1.61,3,1.26,1.81,3,1.26,1.81,1.26,1.81,1.44,1.78,1.44,1.36,1.62,1.22,1.62,1.22,0.5775,0.5788,0.5788,0.5788,0.5583,0.6331,0.6,0.6,1.9779,3.4488,0.0512,-2.6756
5,GaN,1.26,1.81,3,1.26,1.81,3,1.26,1.81,1.26,1.81,1.26,1.81,1.26,1.81,1.26,1.81,1.26,1.81,0.5788,0.5788,0.5788,0.5788,0.5788,0.5788,0.5788,0.5788,1.745,3.3633,0.0,-2.2815
6,AlGaIn2Sc2Y2N8,1.18,1.61,3,1.26,1.81,3,1.44,1.78,1.44,1.78,1.44,1.36,1.44,1.36,1.62,1.22,1.62,1.22,0.5775,0.5788,0.5583,0.5583,0.6331,0.6331,0.6,0.6,1.9829,3.3405,0.3103,-2.7706
7,AlGaIn2Sc3YN8,1.18,1.61,3,1.26,1.81,3,1.44,1.78,1.44,1.78,1.44,1.36,1.44,1.36,1.44,1.36,1.62,1.22,0.5775,0.5788,0.5583,0.5583,0.6331,0.6331,0.6331,0.6,2.18,3.5686,0.3149,-2.7879
8,BeMgBaCdSi2GeSnN8,0.9,1.57,2,1.3,1.31,2,1.98,0.89,1.48,1.69,1.11,1.9,1.11,1.9,1.22,2.01,1.41,1.96,0.8995,0.7377,0.5029,0.8678,0.7865,0.7865,0.762,0.7086,1.0338,2.5346,0.6384,-2.3439
9,BeCaCd2SiGe2SnN8,0.9,1.57,2,1.74,1.0,2,1.48,1.69,1.48,1.69,1.11,1.9,1.22,2.01,1.22,2.01,1.41,1.96,0.8995,0.5898,0.8678,0.8678,0.7865,0.762,0.762,0.7086,0.9851,2.4297,0.4817,-2.1498
10,BeSrBa2SiGeSn2N8,0.9,1.57,2,1.92,0.95,2,1.98,0.89,1.98,0.89,1.11,1.9,1.22,2.01,1.41,1.96,1.41,1.96,0.8995,0.5495,0.5029,0.5029,0.7865,0.762,0.7086,0.7086,1.4076,2.8713,0.7122,-2.3211
11,BeMgSrZnGeSn3N8,0.9,1.57,2,1.3,1.31,2,1.92,0.95,1.31,1.65,1.22,2.01,1.41,1.96,1.41,1.96,1.41,1.96,0.8995,0.7377,0.5495,0.9064,0.762,0.7086,0.7086,0.7086,0.8778,2.3629,0.5727,-2.037
12,BeCaSrBaSiGe2TiN8,0.9,1.57,2,1.74,1.0,2,1.92,0.95,1.98,0.89,1.11,1.9,1.22,2.01,1.22,2.01,1.36,1.54,0.8995,0.5898,0.5495,0.5029,0.7865,0.762,0.762,0.6588,2.4449,3.8424,0.7062,-2.6506
13,MgSiN2,1.3,1.31,2,1.3,1.31,2,1.3,1.31,1.3,1.31,1.11,1.9,1.11,1.9,1.11,1.9,1.11,1.9,0.7377,0.7377,0.7377,0.7377,0.7865,0.7865,0.7865,0.7865,4.0135,5.7547,-0.7831,-2.9931
14,BeCaZnCdGe2SnTiN8,0.9,1.57,2,1.74,1.0,2,1.31,1.65,1.48,1.69,1.22,2.01,1.22,2.01,1.41,1.96,1.36,1.54,0.8995,0.5898,0.9064,0.8678,0.762,0.762,0.7086,0.6588,1.5379,3.041,0.3696,-2.1794
15,BeCa2CdSi3ZrN8,0.9,1.57,2,1.74,1.0,2,1.74,1.0,1.48,1.69,1.11,1.9,1.11,1.9,1.11,1.9,1.48,1.33,0.8995,0.5898,0.5898,0.8678,0.7865,0.7865,0.7865,0.6401,2.1029,3.5093,0.1326,-2.8482
