CV1	CV2	free energy (kJ/mol)
-3.0	0.35	inf
-2.94	0.35	inf
-2.88	0.35	inf
-2.82	0.35	inf
-2.76	0.35	74.22433927180211
-2.7	0.35	61.628418609812954
-2.64	0.35	49.48275621270931
-2.58	0.35	40.92305851779832
-2.52	0.35	35.32532644292706
-2.46	0.35	31.762830904684847
-2.4	0.35	28.347743975785733
-2.34	0.35	25.399919301979303
-2.28	0.35	23.745895573371403
-2.22	0.35	23.244732051500527
-2.16	0.35	23.86720595513231
-2.1	0.35	25.3388921588791
-2.04	0.35	26.8541701630294
-1.98	0.35	28.475097530356454
-1.92	0.35	30.66847995423608
-1.86	0.35	32.223836395236944
-1.8	0.35	34.944574596524696
-1.74	0.35	40.42005727899763
-1.6800000000000002	0.35	46.170579451469976
-1.62	0.35	49.76900404975473
-1.56	0.35	56.186284491193895
-1.5	0.35	64.35063219806865
-1.44	0.35	66.91908875173893
-1.38	0.35	60.761845655229145
-1.32	0.35	57.467257844687154
-1.26	0.35	57.756395031853735
-1.2000000000000002	0.35	61.62628145408809
-1.14	0.35	69.05328910638477
-1.08	0.35	86.12749912483741
-1.02	0.35	107.62461639135692
-0.96	0.35	114.37174748039088
-0.9000000000000001	0.35	124.55682595240464
-0.84	0.35	inf
-0.78	0.35	inf
-0.7200000000000001	0.35	inf
-0.6600000000000001	0.35	inf
-0.6000000000000001	0.35	inf
-0.54	0.35	inf
-0.4800000000000001	0.35	inf
-0.4200000000000001	0.35	inf
-0.3600000000000001	0.35	inf
-0.3000000000000001	0.35	inf
-0.24000000000000007	0.35	inf
-0.1800000000000001	0.35	inf
-0.12000000000000012	0.35	inf
-0.0600000000000001	0.35	inf
-1.1102230246251563e-16	0.35	inf
0.05999999999999989	0.35	inf
0.11999999999999988	0.35	inf
0.17999999999999988	0.35	inf
0.23999999999999988	0.35	inf
0.2999999999999999	0.35	inf
0.3599999999999999	0.35	inf
0.41999999999999993	0.35	inf
0.4799999999999999	0.35	inf
0.5399999999999998	0.35	inf
0.5999999999999999	0.35	inf
0.6599999999999999	0.35	inf
0.72	0.35	inf
0.7799999999999998	0.35	inf
0.8399999999999999	0.35	inf
0.8999999999999998	0.35	inf
0.9599999999999999	0.35	inf
1.0199999999999998	0.35	inf
1.0799999999999998	0.35	inf
1.14	0.35	inf
1.1999999999999995	0.35	inf
1.2599999999999998	0.35	inf
1.3199999999999998	0.35	inf
1.38	0.35	inf
1.44	0.35	inf
1.4999999999999998	0.35	inf
1.5599999999999998	0.35	inf
1.62	0.35	inf
1.6799999999999995	0.35	inf
1.7399999999999998	0.35	inf
1.7999999999999998	0.35	inf
1.86	0.35	inf
1.92	0.35	inf
1.98	0.35	inf
2.04	0.35	inf
2.1	0.35	inf
2.16	0.35	inf
2.22	0.35	inf
2.28	0.35	inf
2.34	0.35	inf
2.4	0.35	inf
2.46	0.35	inf
2.52	0.35	inf
2.58	0.35	inf
2.64	0.35	inf
2.7	0.35	inf
2.76	0.35	inf
2.82	0.35	inf
2.88	0.35	inf
2.94	0.35	inf
